Product Name,Rating,Customers_Rated,Price,Category
Balloons over Broadway: The True Story of the Puppeteer of Macy's Parade (Bank Street College of Education Flora Stieglitz Straus Award (Awards)),4.9 out of 5 stars,"1,525",$12.19,Books
"Half Baked Harvest Super Simple: More Than 125 Recipes for Instant, Overnight, Meal-Prepped, and Easy Comfort Foods: A Cookbook",4.8 out of 5 stars,"11,626",$18.27,Books
Turkey Trouble,4.8 out of 5 stars,"5,487",$7.84,Books
Bose QuietComfort 45 Bluetooth Wireless Noise Cancelling Headphones - Triple Black,4.7 out of 5 stars,"8,749",$329.00,Electronics
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants",4.8 out of 5 stars,"14,351",$13.25,Books
"Roku Voice Remote (Official) for Roku Players, Roku TVs and Roku Audio",4.7 out of 5 stars,"53,371",$19.88,Electronics
"Tylenol Extra Strength Acetaminophen Rapid Release Gels, Pain Reliever & Fever Reducer, 100 ct",4.8 out of 5 stars,"47,659",$13.99,Health and Household
AKASO EK7000 4K30FPS Action Camera Ultra HD Underwater Camera 170 Degree Wide Angle 98FT Waterproof Camera,4.4 out of 5 stars,"31,835",$68.88,Electronics
"Friends, Lovers, and the Big Terrible Thing: A Memoir",4.4 out of 5 stars,"2,995",$14.00,Books
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (Illustrated edition) (4)",4.9 out of 5 stars,"25,142",$21.52,Books
12 Rules for Life: An Antidote to Chaos,4.8 out of 5 stars,"60,966",$13.11,Books
"Amazon Basics 40W Equivalent, Soft White, Non-Dimmable, 10,000 Hour Lifetime, A19 LED Light Bulb | 6-Pack",4.7 out of 5 stars,"34,783",$11.78,Health and Household
"Quest Nutrition Cookies & Cream Protein Bars, High Protein, Low Carb, Gluten Free, Keto Friendly, 12 Count",4.4 out of 5 stars,"58,944",$29.95,Health and Household
NoseFrida Saline Spray by Frida Baby Saline Nasal Spray To Soften Nasal Passages For Use Before NoseFrida The SnotSucker (0.6,4.7 out of 5 stars,"12,932",$5.99,Health and Household
The Screaming Goat (Book & Figure),4.7 out of 5 stars,"30,587",$8.76,Books
"One Nation Under Blackmail: The Sordid Union Between Intelligence and Crime that Gave Rise to Jeffrey Epstein, VOL.1",4.6 out of 5 stars,Whitney Webb,$22.46,Books
I Love You to the Moon and Back,4.9 out of 5 stars,"61,435",$4.31,Books
"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)",4.8 out of 5 stars,Snoop Dogg,$15.62,Books
"OHill Cable Clips,16 Pack Black Adhesive Cord Holders, Ideal Cable Cords Management for Organizing Cable Wires-Home, Office, ",4.5 out of 5 stars,"54,114",$7.99,Electronics
"Oral-B Pro 1000 CrossAction Electric Toothbrush, Black",4.7 out of 5 stars,"73,109",$39.97,Health and Household
"Nature Made Fish Oil 1000 mg, 250 Softgels Value Size, Fish Oil Omega 3 Supplement For Heart Health",4.8 out of 5 stars,"33,293",$17.99,Health and Household
The Boys from Biloxi: A Legal Thriller,4.4 out of 5 stars,"11,114",$14.00,Books
"Amazon Brand - Presto! 308-Sheet Mega Roll Toilet Paper, Ultra-Soft, 6 Count (Pack of 4), 24 Mega Rolls = 112 regular rolls",4.7 out of 5 stars,"127,364",$31.48,Health and Household
"Liquid I.V. Hydration Multiplier + Immune Support, Easy Open Packets, Fresh Tangerine Flavor | 14 Sticks",4.7 out of 5 stars,"18,475",$25.19,Health and Household
The Power of Now: A Guide to Spiritual Enlightenment,4.7 out of 5 stars,"43,664",$7.51,Books
"Scotties Everyday Comfort Facial Tissues, 92 Tissues per Box, 4 Pack, 92 Count (Pack of 4)",4.6 out of 5 stars,"9,563",$4.22,Health and Household
"Arm & Hammer Plus OxiClean Clean Meadow, 75 Loads Liquid Laundry Detergent, 118.1 Fl oz",4.8 out of 5 stars,"30,202",$8.49,Health and Household
The Return of the Gods,4.8 out of 5 stars,"2,477",$20.49,Books
Amazon Basics 3.5mm to 2-Male RCA Adapter Audio Stereo Cable - 4 Feet,4.7 out of 5 stars,"69,507",$6.38,Electronics
The Everyday Raycon Bluetooth Wireless Earbuds with Microphone- Stereo Sound in-Ear Bluetooth Headset True Wireless Earbuds 3,4.4 out of 5 stars,"17,743",$79.99,Electronics
Mucinex Chest Congestion Maximum Strength 12 Hour Extended Release Tablets Relieves Chest Congestion Caused by Excess Mucus(#,4.8 out of 5 stars,"14,483",$19.99,Health and Household
Radio's Greatest of All Time,4.9 out of 5 stars,419,$22.11,Books
"Sunbeam Heating Pad for Back, Neck, and Shoulder Pain Relief with Auto Shut Off, XL 12 x 24"", Teal",4.3 out of 5 stars,"65,407",$29.99,Health and Household
"All-New Echo Dot (5th Gen, 2022 release) Kids | Designed for kids, with parental controls | Owl",4.6 out of 5 stars,68,$59.99,Electronics
"Jesus Calling for Christmas, Padded Hardcover, with Full Scriptures",4.8 out of 5 stars,"2,041",$7.76,Books
RC280 Replacement Remote Applicable for TCL Roku TV 55UP120 32S4610R 50FS3750 32FS3700 32FS4610R 32S800 32S850 32S3850 48FS37,4.5 out of 5 stars,"70,159",$6.95,Electronics
NutraBlast Boric Acid Vaginal Suppositories - 100% Pure Made in USA - Boric Life Intimate Health Support (30 Count),4.6 out of 5 stars,"66,562",$18.80,Health and Household
"ACT Kids Anticavity Fluoride Rinse Bubble Gum Blowout 16.9 fl. oz. Accurate Dosing Cup, Alcohol Free",4.7 out of 5 stars,"29,032",$4.48,Health and Household
Where's Bluey?: A Search-and-Find Book,4.8 out of 5 stars,Penguin Young Readers Licenses,$7.49,Books
"A World of Curiosities: A Novel (Chief Inspector Gamache Novel, 18)",,Hardcover,$20.99,Books
The Wonky Donkey,4.8 out of 5 stars,"75,581",$5.28,Books
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",4.8 out of 5 stars,"57,723",$11.40,Books
"Neck and Shoulder Relaxer, Cervical Traction Device for TMJ Pain Relief and Cervical Spine Alignment, Chiropractic Pillow Nec",4.2 out of 5 stars,"53,844",$20.99,Health and Household
"PICOOC Smart Scale for Body Weight, Body Fat Scale with 14+ Body Compositions, Digital Bathroom Scales with Smartphone App Sy",4.5 out of 5 stars,276,$29.99,Health and Household
"Charmin Ultra Soft Cushiony Touch Toilet Paper, 18 Family Mega Rolls = 90 Regular Rolls",4.8 out of 5 stars,"35,668",$28.82,Health and Household
"Anker 20W USB C Power Strip, 321 Power Strip with 3 Outlets and USB C Charging for iPhone 14/13 Series, 5 ft Extension Cord, ",4.5 out of 5 stars,856,$15.99,Electronics
